distilbert_score,vader_score,textblob_score
0.0,-0.9182,-0.2822916666666667
0.0,0.6369,0.0
0.0,-0.2481,0.21111111111111114
0.0,-0.3167,0.0
0.0,-0.6093,-0.2583333333333333
0.0,0.4954,0.6
0.0,-0.5067,0.0
0.0,-0.2924,-0.390625
0.0,0.0772,-0.025
0.0,-0.6742,-0.1
0.0,-0.122,0.275
0.0,-0.4981,0.221875
0.0,-0.9151,0.16562500000000002
0.0,0.2914,0.075
0.0,0.9818,0.61
0.0,-0.6428,-0.30000000000000004
0.0,0.775,0.5333333333333333
0.0,-0.851,-0.13809523809523813
0.0,0.6486,0.3
0.0,-0.1215,-0.2916666666666667
0.0,0.0,0.0
0.0,0.4588,0.0
0.0,0.5859,0.2
0.0,0.7345,0.1122727272727273
0.0,-0.6219,-0.25
0.0,-0.2425,0.2777777777777778
0.0,0.0,-0.24305555555555558
0.0,0.0,0.0
0.0,-0.4767,-0.055555555555555546
0.0,-0.656,0.0
0.0,0.8934,0.39999999999999997
0.0,0.6199,0.31666666666666665
0.0,0.7639,0.13564814814814816
0.0,0.6588,0.43333333333333335
0.0,0.0,0.0
0.0,0.903,0.4895833333333333
0.0,0.0,0.0
0.0,-0.5837,0.0
0.0,-0.4003,-0.06249999999999997
0.0,-0.5859,0.2
0.0,-0.7506,0.024999999999999994
0.0,-0.5423,-0.175
0.0,0.8074,0.15
0.0,-0.7119,0.2109375
0.0,-0.5859,0.0
0.0,0.0,0.03333333333333333
0.0,-0.3595,0.5
0.0,-0.3476,0.0
0.0,0.5994,0.35000000000000003
0.0,0.4588,0.39285714285714285
0.0,0.8555,0.35000000000000003
0.0,0.0,0.048611111111111105
0.0,0.7543,0.8
0.0,0.8834,0.6625000000000001
0.0,0.5859,0.04999999999999999
0.0,-0.6249,0.0
0.0,0.0,-0.3
0.0,0.4007,-0.0875
0.0,0.2263,0.21875
0.0,-0.3818,-0.8999999999999999
0.0,-0.2023,-0.6
0.0,-0.2263,-0.05555555555555555
0.0,-0.3182,0.0
0.0,0.4215,0.6
0.0,0.0,0.475
0.0,-0.765,0.0
0.0,-0.2942,0.125
0.0,0.0,0.25
0.0,-0.168,-0.18888888888888888
0.0,-0.4767,0.0
0.0,-0.5106,0.04166666666666666
0.0,0.25,-0.3
0.0,0.7425,0.3121212121212121
0.0,0.0,0.25
0.0,0.0,-0.07777777777777779
0.0,0.7664,0.5
0.0,0.3182,0.14285714285714285
0.0,0.7644,0.35
0.0,-0.296,0.0
0.0,0.3802,0.0
0.0,0.0,0.25
0.0,-0.2755,0.0
0.0,-0.0798,0.5
0.0,-0.593,0.25
0.0,-0.9169,-0.1236111111111111
0.0,-0.5423,-0.2
0.0,-0.5574,0.425
0.0,-0.802,-0.20833333333333334
0.0,0.7565,-0.5
0.0,-0.5106,0.1
0.0,0.0,-0.25
0.0,-0.8591,-0.30833333333333335
0.0,0.0,0.5
0.0,-0.8356,-1.0
0.0,-0.3274,-0.04513888888888887
0.0,-0.9075,0.28928571428571426
0.0,-0.6249,-0.1625
0.0,-0.8979,-0.2972222222222222
0.0,0.0,0.0
0.0,0.0,0.0
0.0,-0.6771,0.0
0.0,-0.128,0.04999999999999999
0.0,0.802,0.65
0.0,0.6597,0.0
0.0,0.0,0.0
0.0,-0.479,0.0
0.0,-0.4588,-0.5
0.0,-0.2263,0.0
0.0,-0.7345,-0.5625
0.0,0.4812,0.6
0.0,0.0,0.0
0.0,0.7579,0.35
0.0,0.0762,-0.125
0.0,0.6808,0.8
0.0,-0.128,-0.3888888888888889
0.0,-0.4588,0.08750000000000001
0.0,-0.6588,0.0666666666666667
0.0,-0.5267,0.30333333333333334
0.0,-0.8402,0.0
0.0,-0.743,0.2
0.0,0.0,0.1125
0.0,-0.69,0.0
0.0,-0.5757,0.036666666666666674
0.0,0.4629,0.03333333333333333
0.0,0.5255,-0.25
0.0,-0.6571,0.0
0.0,-0.6103,-0.3125
0.0,-0.8515,0.2333333333333333
0.0,0.5023,0.0
0.0,0.717,0.190625
0.0,0.3802,0.4375
0.0,-0.7712,0.06500000000000003
0.0,-0.7739,0.05
0.0,0.2942,0.5
0.0,0.8285,0.0
0.0,0.0,0.0
0.0,-0.0258,-0.5
0.0,0.4003,0.0
0.0,0.0,0.0
0.0,0.0,0.5
0.0,0.2709,0.0
0.0,0.4767,0.2
0.0,-0.126,0.0
0.0,0.5707,0.24583333333333335
0.0,-0.5994,0.16666666666666669
0.0,0.4588,0.2
0.0,0.0,-0.6
0.0,0.2382,-0.1666666666666666
0.0,0.2942,0.3916666666666666
0.0,0.0,0.0
0.0,-0.5423,-0.4
0.0,0.0,0.1
0.0,0.0,0.0
0.0,-0.8126,0.0
0.0,0.8555,0.5
0.0,0.0,0.0
0.0,0.8427,-0.2
0.0,-0.2575,-0.06818181818181818
0.0,-0.367,-0.7
0.0,0.1779,0.0
0.0,-0.9801,-0.3783333333333333
0.0,0.0,0.2
0.0,-0.8779,-0.625
0.0,0.7125,0.5
0.0,0.5562,0.0
0.0,-0.8016,-0.75
0.0,-0.7351,0.0
0.0,-0.5859,-0.45
0.0,-0.7506,-0.6999999999999998
0.0,0.4939,0.3
0.0,0.6486,0.6000000000000001
0.0,0.0,-0.15555555555555559
0.0,0.4215,0.26666666666666666
0.0,0.4404,0.0
0.0,0.765,0.0
0.0,0.0,0.25
0.0,0.6597,0.475
0.0,0.7269,0.475
0.0,-0.4359,-0.78125
0.0,-0.5423,0.0
0.0,-0.3094,0.30727272727272725
0.0,0.0,0.225
0.0,0.4215,0.525
0.0,0.0,0.0
0.0,0.0,0.0
0.0,-0.2658,0.5
0.0,0.0,0.41666666666666663
0.0,0.7311,0.2
0.0,0.0387,-0.21428571428571427
0.0,0.4019,0.6
0.0,0.7817,0.4
0.0,-0.2732,0.0
0.0,-0.3517,0.2333333333333333
0.0,-0.9403,-0.2333333333333333
0.0,0.7378,0.3
0.0,-0.7088,-0.15625
0.0,0.277,0.0
0.0,0.4102,0.75
0.0,0.9059,0.66875
0.0,0.8718,0.2583333333333333
0.0,-0.4404,0.0
0.0,0.3612,0.0
0.0,-0.25,-0.375
0.0,0.4588,0.55
0.0,0.2057,-0.15
0.0,0.235,0.3333333333333333
0.0,0.0,0.0
0.0,0.0516,0.0
0.0,-0.9349,-0.4
0.0,0.3182,0.6
0.0,0.2755,0.25
0.0,-0.873,-0.3333333333333333
0.0,0.2075,0.25
0.0,-0.8402,-0.3
0.0,0.25,0.3444444444444444
0.0,-0.85,-0.6
0.0,0.0772,0.0
0.0,0.0,0.0
0.0,0.4215,-0.1
0.0,-0.4199,-0.0875
0.0,0.6565,0.21875
0.0,-0.1531,0.0
0.0,0.6486,0.8
0.0,0.465,0.9375
0.0,-0.4215,-0.038095238095238106
0.0,0.4939,0.20000000000000004
0.0,-0.5672,0.26666666666666666
0.0,-0.504,-0.4
0.0,0.2732,-0.1
0.0,0.1655,0.0
0.0,0.0,0.0
0.0,0.6776,0.5
0.0,-0.4767,-0.15555555555555559
0.0,0.3612,0.0
0.0,0.128,0.0
0.0,0.1531,0.1736111111111111
0.0,0.6113,0.3333333333333333
0.0,0.2382,0.125
0.0,0.0,0.25
0.0,-0.9575,-0.5375000000000001
0.0,-0.2206,-0.1
0.0,-0.6752,-0.4
0.0,0.7113,0.022222222222222213
0.0,0.0,0.0
0.0,-0.25,0.0
0.0,0.0,0.0
0.0,0.0,0.0
0.0,-0.7096,-0.6999999999999998
0.0,0.2023,0.2
0.0,-0.3182,0.0
0.0,0.34,0.0
0.0,-0.8975,-0.6
0.0,-0.2663,0.0
0.0,0.4019,0.0
0.0,0.4449,-0.18333333333333335
0.0,-0.8402,0.0
0.0,-0.8079,0.0
0.0,0.3089,0.0
0.0,-0.4939,-0.9375
0.0,-0.4215,0.0
0.0,-0.1336,0.0
0.0,-0.1531,0.0
0.0,0.4404,0.5666666666666667
0.0,-0.8847,-0.2
0.0,-0.6486,0.0
0.0,0.8316,0.3333333333333333
0.0,0.0,0.0
0.0,0.8834,0.42666666666666664
0.0,-0.6124,-0.25
0.0,0.0,0.0
0.0,-0.3855,-0.5270833333333333
0.0,-0.6742,-0.39999999999999997
0.0,0.836,0.65
0.0,0.0,-0.375
0.0,0.0,0.5
0.0,0.6209,1.0
0.0,-0.2023,0.0
0.0,-0.6229,0.3125
0.0,0.0,0.0
0.0,0.5367,0.35
0.0,-0.2023,0.30000000000000004
0.0,-0.743,-0.1
0.0,-0.7964,0.0
0.0,0.0,0.0
0.0,0.4767,0.4
0.0,-0.624,-0.39
0.0,-0.1546,-0.1625
0.0,-0.4939,-0.5
0.0,0.0,0.5
0.0,-0.4926,-0.009027777777777787
0.0,0.0,0.0
0.0,0.6652,0.0
0.0,0.5093,0.75
0.0,0.6114,0.3125
0.0,0.0,0.0
0.0,0.4371,0.5208333333333334
0.0,0.7592,0.390625
0.0,0.4497,0.5
0.0,0.351,-0.9765625
0.0,0.0,-0.75
0.0,0.3459,-0.278125
0.0,-0.5859,-0.6
0.0,-0.5904,0.0
0.0,0.4767,0.0
0.0,-0.6673,0.15
0.0,0.2235,0.0
0.0,0.0,0.0
0.0,-0.4019,0.0
0.0,0.0,0.0
0.0,0.0,0.0
